State: 157, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 10,214,353, Time: 92.41
State: 158, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 3,014,353, Time: 26.20
State: 159, SolnCost: 23.00, # Moves: 23, # Nodes Gen: 12,254,353, Time: 112.93
State: 160, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 6,974,353, Time: 63.52
State: 161, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 15,374,353, Time: 143.35
State: 162, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 2,294,353, Time: 19.66
State: 163, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 9,254,353, Time: 85.96
State: 164, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 4,094,353, Time: 35.65
State: 165, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 6,134,353, Time: 55.03
State: 166, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 5,414,353, Time: 48.76
State: 167, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 5,054,353, Time: 43.92
State: 168, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 9,854,353, Time: 89.42
State: 169, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,174,353, Time: 19.27
State: 170, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 7,574,353, Time: 69.47
State: 171, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 6,254,353, Time: 57.10
State: 172, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 8,294,353, Time: 75.77
State: 173, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 19,214,353, Time: 178.75
State: 174, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 6,374,353, Time: 59.06
State: 175, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 3,374,353, Time: 28.93
State: 176, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,174,353, Time: 18.60
State: 177, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 7,454,353, Time: 68.72
State: 178, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 36,734,353, Time: 354.00
